model,trial_number,state,cv_mean_pr_auc,cv_pr_auc_std,parameters_json,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_iterations,param_depth,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
xgboost,15,COMPLETE,0.9512849564568293,0.010262036376985695,"{""colsample_bytree"": 0.8759347993734068, ""gamma"": 3.6558473706160033, ""learning_rate"": 0.04450806990992636, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_alpha"": 0.03742538917760232, ""reg_lambda"": 0.0015693749731198379, ""subsample"": 0.7406086632532847}",600.0,0.04450806990992636,5.0,3.0,0.7406086632532847,0.8759347993734068,3.6558473706160033,0.03742538917760232,0.0015693749731198379,,,,,
xgboost,16,COMPLETE,0.9530534674169366,0.010465790104858144,"{""colsample_bytree"": 0.7031378292870405, ""gamma"": 2.3777183437849847, ""learning_rate"": 0.015384671546585056, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.3435361093525031, ""reg_lambda"": 0.04477031393133304, ""subsample"": 0.7311941285873849}",600.0,0.015384671546585056,6.0,1.0,0.7311941285873849,0.7031378292870405,2.3777183437849847,0.3435361093525031,0.04477031393133304,,,,,
xgboost,17,COMPLETE,0.952746975000221,0.010701121611554067,"{""colsample_bytree"": 0.6941848130425736, ""gamma"": 1.1142562304519625, ""learning_rate"": 0.015781047116596343, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 350, ""reg_alpha"": 0.14665035349091426, ""reg_lambda"": 0.04095075400879406, ""subsample"": 0.8505915654206465}",350.0,0.015781047116596343,4.0,1.0,0.8505915654206465,0.6941848130425736,1.1142562304519625,0.14665035349091426,0.04095075400879406,,,,,
xgboost,18,COMPLETE,0.9504706137094553,0.010760535533171592,"{""colsample_bytree"": 0.7829744778394669, ""gamma"": 4.093784190410645, ""learning_rate"": 0.01733038089254863, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 850, ""reg_alpha"": 0.010981917198737458, ""reg_lambda"": 0.06526715700440985, ""subsample"": 0.771896366264789}",850.0,0.01733038089254863,8.0,3.0,0.771896366264789,0.7829744778394669,4.093784190410645,0.010981917198737458,0.06526715700440985,,,,,
xgboost,19,COMPLETE,0.9518529327332906,0.01051152506733602,"{""colsample_bytree"": 0.6964015843587041, ""gamma"": 2.491025122658857, ""learning_rate"": 0.03615581608890234, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 650, ""reg_alpha"": 0.382608898215619, ""reg_lambda"": 0.0036055345107021846, ""subsample"": 0.8388049554799256}",650.0,0.03615581608890234,6.0,4.0,0.8388049554799256,0.6964015843587041,2.491025122658857,0.382608898215619,0.0036055345107021846,,,,,
xgboost,20,COMPLETE,0.9497582401808261,0.010822737739773665,"{""colsample_bytree"": 0.8559370287924123, ""gamma"": 3.2611095225365703, ""learning_rate"": 0.09191517672520012, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.05157818374124238, ""reg_lambda"": 1.209567881163348, ""subsample"": 0.993422802859038}",1000.0,0.09191517672520012,5.0,1.0,0.993422802859038,0.8559370287924123,3.2611095225365703,0.05157818374124238,1.209567881163348,,,,,
xgboost,21,COMPLETE,0.9524639742633019,0.010644133924810858,"{""colsample_bytree"": 0.7013439989275732, ""gamma"": 1.2301414659282912, ""learning_rate"": 0.01631216454734748, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 350, ""reg_alpha"": 0.1729308605670743, ""reg_lambda"": 0.03680235085867298, ""subsample"": 0.8801151332999178}",350.0,0.01631216454734748,4.0,1.0,0.8801151332999178,0.7013439989275732,1.2301414659282912,0.1729308605670743,0.03680235085867298,,,,,
xgboost,22,COMPLETE,0.9504465067988391,0.011307054120863828,"{""colsample_bytree"": 0.6825855893652275, ""gamma"": 1.203538805551276, ""learning_rate"": 0.01080728034767483, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 250, ""reg_alpha"": 0.1277768031813471, ""reg_lambda"": 0.032663681122391534, ""subsample"": 0.9819856814030353}",250.0,0.01080728034767483,4.0,2.0,0.9819856814030353,0.6825855893652275,1.203538805551276,0.1277768031813471,0.032663681122391534,,,,,
xgboost,23,COMPLETE,0.9526026090017338,0.010128124822964981,"{""colsample_bytree"": 0.7688200438340201, ""gamma"": 0.7240603924304303, ""learning_rate"": 0.016621467939842094, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.012901585027314293, ""reg_lambda"": 0.2088787130253472, ""subsample"": 0.9466338697710561}",400.0,0.016621467939842094,5.0,1.0,0.9466338697710561,0.7688200438340201,0.7240603924304303,0.012901585027314293,0.2088787130253472,,,,,
xgboost,24,COMPLETE,0.951435193024946,0.009849910964894132,"{""colsample_bytree"": 0.7130626971509172, ""gamma"": 1.5587210660876734, ""learning_rate"": 0.01869537751985799, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 600, ""reg_alpha"": 0.9451155103487738, ""reg_lambda"": 0.06262584085722459, ""subsample"": 0.795522553524041}",600.0,0.01869537751985799,4.0,2.0,0.795522553524041,0.7130626971509172,1.5587210660876734,0.9451155103487738,0.06262584085722459,,,,,
